AÑO,CATEGORÍAS,REGIONES,VOLUMEN
2014-01-01,Legumbre,Cataluña,26788.42
2014-01-01,Aceite,Cataluña,88072.52
2014-01-01,Margarina,Cataluña,4479.81
2014-01-01,Aceitunas,Cataluña,24161.47
2014-01-01,Vinagre,Cataluña,6787.81
2014-01-01,Zumos,Cataluña,77545.93
2014-01-01,Patatas,Cataluña,218318.72
2014-01-01,Hortalizas frescas,Cataluña,486817.97
2014-01-01,Frutas frescas,Cataluña,727464.12
2014-01-01,Frutos secos,Cataluña,21060.77
2014-01-01,Platos preparados,Cataluña,110603.02
2014-01-01,Cafés e infusiones,Cataluña,11889.74
2014-01-01,Caldos,Cataluña,1116.15
2014-01-01,Salsas,Cataluña,15542.99
2014-01-01,Agua,Cataluña,493107.54
2014-01-01,Refrescos,Cataluña,293561.83
2014-01-01,Harinas,Cataluña,14101.34
2014-01-01,Encurtidos,Cataluña,2982.58
2014-01-01,Especias,Cataluña,709.79
2014-01-01,Sal,Cataluña,8868.22
2014-01-01,Otros productos en peso,Cataluña,6359.63
2014-01-01,Otros productos en volumen,Cataluña,36489.44
2015-01-01,Huevos,Cataluña,57200.56
2015-01-01,Miel,Cataluña,3075.61
2015-01-01,Carne,Cataluña,358411.23
2015-01-01,Pesca,Cataluña,182619.34
2015-01-01,Leche líquida,Cataluña,433476.52
2015-01-01,Otras leches,Cataluña,3788.41
2015-01-01,Preparados lacteos,Cataluña,16841.47
2015-01-01,Derivados lacteos,Cataluña,251031.5
2015-01-01,Pan,Cataluña,227614.75
2015-01-01,Boll/Past/Gallet/Cere,Cataluña,92886.56
2015-01-01,Choco/Cacao/Suc,Cataluña,23905.36
2015-01-01,Arroz,Cataluña,29770.72
2015-01-01,Pasta,Cataluña,38636.76
2015-01-01,Azucar,Cataluña,23891.7
2015-01-01,Edulcorante,Cataluña,492.22
2015-01-01,Legumbre,Cataluña,27324.87
2015-01-01,Aceite,Cataluña,87669.03
2015-01-01,Margarina,Cataluña,4658.69
2015-01-01,Aceitunas,Cataluña,24860.54
2015-01-01,Vinagre,Cataluña,6941.35
2015-01-01,Zumos,Cataluña,74210.63
2015-01-01,Patatas,Cataluña,216997.58
2015-01-01,Hortalizas frescas,Cataluña,482516.57
2015-01-01,Frutas frescas,Cataluña,720731.8
2015-01-01,Frutos secos,Cataluña,21917.19
2015-01-01,Platos preparados,Cataluña,118182.65
2015-01-01,Cafés e infusiones,Cataluña,11819.5
2015-01-01,Caldos,Cataluña,1057.07
